title,raw_price,numeric_price,description,source_page,item_url
"In a Dark, Dark Wood",£19.63,19.63,"In a dark, dark wood Nora hasn't seen Clare for ten years. Not since Nora walked out of school one day and never went ba...",https://books.toscrape.com/catalogue/page-2.html,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
It's Only the Himalayas,£45.17,45.17,"“Wherever you go, whatever you do, just . . . don’t do anything stupid.” —My MotherDuring her yearlong adventure backpac...",https://books.toscrape.com/catalogue/page-1.html,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
Behind Closed Doors,£52.22,52.22,The 2016 debut bloggers can't stop raving about. Perfect for fans of The Girl on the Train and The Ice Twins Everyone kn...,https://books.toscrape.com/catalogue/page-2.html,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html
Slow States of Collapse: Poems,£57.31,57.31,"The eagerly anticipated debut from one of Canada’s most exciting new poets In her debut collection, Ashley-Elizabeth Bes...",https://books.toscrape.com/catalogue/page-3.html,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
You can't bury them all: Poems,£33.63,33.63,"A poetry that is at once harrowing, angry, and achingly beautiful Patrick Woodcock has spent the past seven years engagi...",https://books.toscrape.com/catalogue/page-2.html,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html
Reasons to Stay Alive,£26.41,26.41,"I want life. I want to read it and write it and feel it and live it. I want, for as much of the time as possible in this...",https://books.toscrape.com/catalogue/page-3.html,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html
Private Paris (Private #10),£47.61,47.61,"Paris is burning--and only Private's Jack Morgan can put out the fire.When Jack Morgan stops by Private's Paris office, ...",https://books.toscrape.com/catalogue/page-3.html,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html
The Nameless City (The Nameless City #1),£38.16,38.16,"Every nation that invades the City gives it a new name. But before long, new invaders arrive and the City changes hands ...",https://books.toscrape.com/catalogue/page-4.html,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,23.11,There is a cosmic alarm clock going off around the world! #HigherSelfie's aim is to unite all those waking up spirituall...,https://books.toscrape.com/catalogue/page-3.html,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
The Murder That Never Was (Forensic Instincts #5),£54.11,54.11,"Given the opportunity, would you assume someone else's identity and leave your old life behind? A serendipitous crossing...",https://books.toscrape.com/catalogue/page-4.html,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html
Without Borders (Wanderlove #1),£45.07,45.07,"For Annie London, a month in a Central American rainforest means handing out mosquito nets, giving medical aid, and teac...",https://books.toscrape.com/catalogue/page-3.html,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96,42.96,"Renowned ornithologist Tim Birkhead opens this gripping story as a female guillemot chick hatches, already carrying her ...",https://books.toscrape.com/catalogue/page-4.html,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html
When We Collided,£31.77,31.77,"We are seventeen and shattered and still dancing. We have messy, throbbing hearts, and we are stronger than anyone could...",https://books.toscrape.com/catalogue/page-3.html,https://books.toscrape.com/catalogue/when-we-collided_955/index.html
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",£23.89,23.89,"Is anxiety and fear a problem for you? Have you tried to win the war with your anxious mind and body, only to end up fee...",https://books.toscrape.com/catalogue/page-4.html,https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html
"We Love You, Charlie Freeman",£50.27,50.27,"The Freeman family--Charles, Laurel, and their daughters, teenage Charlotte and nine-year-old Callie--have been invited ...",https://books.toscrape.com/catalogue/page-3.html,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html
Untitled Collection: Sabbath Poems 2014,£14.27,14.27,"More than thirty-five years ago, when the weather allowed, Wendell Berry began spending his sabbaths outdoors, walking a...",https://books.toscrape.com/catalogue/page-3.html,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,44.18,It all started with Nathanael Johnson’s decision to teach his daughter the name of every tree they passed on their walk ...,https://books.toscrape.com/catalogue/page-3.html,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77,16.77,"Despite constant efforts to declutter your home, do papers still accumulate like snowdrifts and clothes pile up like a t...",https://books.toscrape.com/catalogue/page-4.html,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html
Unicorn Tracks,£18.78,18.78,"After a savage attack drives her from her home, sixteen-year-old Mnemba finds a place in her cousin Tumelo’s successful ...",https://books.toscrape.com/catalogue/page-3.html,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",£20.59,20.59,"Slay Procrastination, Distraction, and Overwhelm!Who doesn’t want more time and energy for family, friends, and personal...",https://books.toscrape.com/catalogue/page-4.html,https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html
The Gutsy Girl: Escapades for Your Life of Epic Adventure,£37.13,37.13,"Why should girls miss out on the joy of adventure? They can jump off rocks, swing on ropes, and climb trees just as well...",https://books.toscrape.com/catalogue/page-4.html,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,25.52,"Although we usually think of technology as something unique to modern times, our ancestors began to create the first tec...",https://books.toscrape.com/catalogue/page-3.html,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,16.28,"DUAL WORLDS, DUAL SIGHTS In the land of Nirai Kanai, there are two realms, one that is the ""outside"" world, and another ...",https://books.toscrape.com/catalogue/page-3.html,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
The Electric Pencil: Drawings from Inside State Hospital No. 3,£56.06,56.06,"Deeds's subtle, meticulous, and wildly imaginative pencil and crayon drawings portray an unusual cast of characters: nin...",https://books.toscrape.com/catalogue/page-4.html,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,31.12,Capital in the Twenty-First Century meets The Second Machine Age in this stunning and optimistic tour de force on the pr...,https://books.toscrape.com/catalogue/page-3.html,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html
The Death of Humanity: and the Case for Life,£58.11,58.11,"Do you believe human life is inherently valuable? Unfortunately, in the secularized age of state-sanctioned euthanasia a...",https://books.toscrape.com/catalogue/page-4.html,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html
This One Summer,£19.49,19.49,"Every summer, Rose goes with her mom and dad to a lake house in Awago Beach. It's their getaway, their refuge. Rosie's f...",https://books.toscrape.com/catalogue/page-3.html,https://books.toscrape.com/catalogue/this-one-summer_947/index.html
Thirst,£17.27,17.27,"On a searing summer Friday, Eddie Chapman has been stuck for hours in a traffic jam. There are accidents along the highw...",https://books.toscrape.com/catalogue/page-3.html,https://books.toscrape.com/catalogue/thirst_946/index.html
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",£49.05,49.05,"In his midtwenties, Dave Asprey was a successful Silicon Valley multimillionaire. He also weighed 300 pounds, despite th...",https://books.toscrape.com/catalogue/page-4.html,https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html
The Torch Is Passed: A Harding Family Story,£19.09,19.09,Andrea Harding is a recent college graduate looking forward to attending Duke Law School when her world is turned upside...,https://books.toscrape.com/catalogue/page-3.html,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html
The Art Forger,£40.76,40.76,"On March 18, 1990, thirteen works of art today worth over $500 million were stolen from the Isabella Stewart Gardner Mus...",https://books.toscrape.com/catalogue/page-4.html,https://books.toscrape.com/catalogue/the-art-forger_930/index.html
The Secret of Dreadwillow Carse,£56.13,56.13,A princess and a peasant girl must embark on a dangerous quest to outwit a centuries-old warning foretelling the fall of...,https://books.toscrape.com/catalogue/page-3.html,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73,19.73,"The Age of Genius explores the eventful intertwining of outward event and inner intellectual life to tell, in all its ri...",https://books.toscrape.com/catalogue/page-4.html,https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41,56.41,"THERE’S NO TIME LIKE DINNERTIME!Oh, don’t get me wrong. I adore breakfast. I love lunch! But dinnertime definitely tops ...",https://books.toscrape.com/catalogue/page-3.html,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,£32.24,32.24,"Change and anger are in the air. Looking for answers to today’s wrenching challenges, William Martin turns to the Tao Te...",https://books.toscrape.com/catalogue/page-4.html,https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html
The Past Never Ends,£56.50,56.5,"A simple task, Attorney Chester Morgan thinks. Get a copy of a public record for a young man whose only friend has died ...",https://books.toscrape.com/catalogue/page-3.html,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83,41.83,"Marie Kondo’s unique KonMari Method of tidying up is nothing short of life-changing—and her first book, The Life-Changin...",https://books.toscrape.com/catalogue/page-4.html,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html
The Natural History of Us (The Fine Art of Pretending #2),£45.22,45.22,One class assignment. One second chance at love. The school player is all in. Now he needs to win back the sweet commitm...,https://books.toscrape.com/catalogue/page-3.html,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html
Soul Reader,£39.58,39.58,Along with magic realism and a plethora of literary references throughout issues such as free will and identity flood th...,https://books.toscrape.com/catalogue/page-4.html,https://books.toscrape.com/catalogue/soul-reader_926/index.html
Security,£39.25,39.25,"“Original and imaginative . . . Ripping suspense, sheer terror, and a wrenching love story.” —Sandra Brown, New York Tim...",https://books.toscrape.com/catalogue/page-4.html,https://books.toscrape.com/catalogue/security_925/index.html
"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02,25.02,"After a dramatic time jump, the three-time Eisner Award winner for Best Continuing Series continues to evolve, as Hazel ...",https://books.toscrape.com/catalogue/page-4.html,https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html
"Saga, Volume 5 (Saga (Collected Editions) #5)",£51.04,51.04,Multiple storylines collide in this cosmos-spanning new volume. While Gwendolyn and Lying Cat risk everything to find a ...,https://books.toscrape.com/catalogue/page-4.html,https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html
Reskilling America: Learning to Labor in the Twenty-First Century,£19.83,19.83,"From Katherine Newman, award-winning author of No Shame in My Game, and sociologist Hella Winston, a sharp and irrefutab...",https://books.toscrape.com/catalogue/page-4.html,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",£13.61,13.61,"THE LONG-AWAITED STORY OF FANGIRLS TAKING ON TOKYO!Special large-size 2-in-1 edition of over 400 pages!""One of the best ...",https://books.toscrape.com/catalogue/page-5.html,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",£50.40,50.4,"Having survived the end of the world, the Queens follow Hannah back to where it all began: Mage University. A long peril...",https://books.toscrape.com/catalogue/page-4.html,https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html
Princess Between Worlds (Wide-Awake Princess #5),£13.34,13.34,"Just as Annie and Liam are busy making plans to travel the world, a witch shows up and gives them a collection of postca...",https://books.toscrape.com/catalogue/page-5.html,https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html
"Pop Gun War, Volume 1: Gift",£18.97,18.97,"""Pop Gun War is about childhood, self-discovery, oppression, guilt, dreams, loneliness, whatever. It is more about a fee...",https://books.toscrape.com/catalogue/page-5.html,https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",£36.28,36.28,"Just in time for the presidential election of 2016 comes Political Suicide, a history of the best and most interesting m...",https://books.toscrape.com/catalogue/page-5.html,https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html
Patience,£10.16,10.16,"Patience is a psychedelic science-fiction love story, veering with uncanny precision from violent destruction to deeply ...",https://books.toscrape.com/catalogue/page-5.html,https://books.toscrape.com/catalogue/patience_916/index.html
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",£15.44,15.44,NEW HORROR SERIES FROM THE WALKING DEAD CREATOR ROBERT KIRKMAN! Kyle Barnes has been plagued by demonic possession all h...,https://books.toscrape.com/catalogue/page-5.html,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html
orange: The Complete Collection 1 (orange: The Complete Collection #1),£48.41,48.41,"A Plea From the FutureOn the day that Naho begins 11th grade, she recieves a letter from herself ten years in the future...",https://books.toscrape.com/catalogue/page-5.html,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html
Online Marketing for Busy Authors: A Step-By-Step Guide,£46.35,46.35,"If You Want People to Read Your Book, Writing It Is Only the Beginning There has truly never been a better time to be an...",https://books.toscrape.com/catalogue/page-5.html,https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html
On a Midnight Clear,£14.07,14.07,It's Christmas Eve and private investigator Adam Fraley has lost his way while traveling a remote rural road in the foot...,https://books.toscrape.com/catalogue/page-5.html,https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html
Obsidian (Lux #1),£14.86,14.86,"Starting over sucks.When we moved to West Virginia right before my senior year, I’d pretty much resigned myself to thick...",https://books.toscrape.com/catalogue/page-5.html,https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html
My Paris Kitchen: Recipes and Stories,£33.37,33.37,"A collection of stories and 100 sweet and savory French-inspired recipes from popular food blogger David Lebovitz, refle...",https://books.toscrape.com/catalogue/page-5.html,https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html
Masks and Shadows,£56.40,56.4,"The year is 1779, and Carlo Morelli, the most renowned castrato singer in Europe, has been invited as an honored guest t...",https://books.toscrape.com/catalogue/page-5.html,https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",£14.02,14.02,"Cecilia Granata grew up cooking with her family in Italy. As a vegan, she learned to adapt her favorite recipes from aro...",https://books.toscrape.com/catalogue/page-5.html,https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",£46.91,46.91,"What a mystery!Jo, April, Mal, Molly, and Ripley are not your average campers and Miss Qiunzella Thiskwin Penniquiqul Th...",https://books.toscrape.com/catalogue/page-5.html,https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",£45.61,45.61,"FRIENDSHIP TO THE MAX!At Miss Qiunzilla Thiskwin Penniquiqul Thistle Crumpet's camp for hard-core lady-types, things are...",https://books.toscrape.com/catalogue/page-5.html,https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),£19.92,19.92,"This New York Times Bestselling series continues with Jo, April, Mal, Molly, and Ripley as they take on everything that ...",https://books.toscrape.com/catalogue/page-5.html,https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html
