Title,Price,Description,Source Page,URL,Scraped At
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Â£57.25,Rating: Three,http://books.toscrape.com/catalogue/page-1.html,http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,2026-07-31 04:42:56
Olio,Â£23.88,Rating: One,http://books.toscrape.com/catalogue/page-1.html,http://books.toscrape.com/catalogue/olio_984/index.html,2026-07-31 04:42:56
Mesaerion: The Best Science Fiction Stories 1800-1849,Â£37.59,Rating: One,http://books.toscrape.com/catalogue/page-1.html,http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,2026-07-31 04:42:56
Libertarianism for Beginners,Â£51.33,Rating: Two,http://books.toscrape.com/catalogue/page-1.html,http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,2026-07-31 04:42:56
It's Only the Himalayas,Â£45.17,Rating: Two,http://books.toscrape.com/catalogue/page-1.html,http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,2026-07-31 04:42:56
In Her Wake,Â£12.84,Rating: One,http://books.toscrape.com/catalogue/page-2.html,http://books.toscrape.com/catalogue/in-her-wake_980/index.html,2026-07-31 04:42:56
How Music Works,Â£37.32,Rating: Two,http://books.toscrape.com/catalogue/page-2.html,http://books.toscrape.com/catalogue/how-music-works_979/index.html,2026-07-31 04:42:56
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Â£30.52,Rating: Three,http://books.toscrape.com/catalogue/page-2.html,http://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,2026-07-31 04:42:56
Chase Me (Paris Nights #2),Â£25.27,Rating: Five,http://books.toscrape.com/catalogue/page-2.html,http://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,2026-07-31 04:42:56
Black Dust,Â£34.53,Rating: Five,http://books.toscrape.com/catalogue/page-2.html,http://books.toscrape.com/catalogue/black-dust_976/index.html,2026-07-31 04:42:56
Birdsong: A Story in Pictures,Â£54.64,Rating: Three,http://books.toscrape.com/catalogue/page-2.html,http://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,2026-07-31 04:42:56
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Â£22.50,Rating: Three,http://books.toscrape.com/catalogue/page-2.html,http://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,2026-07-31 04:42:56
Aladdin and His Wonderful Lamp,Â£53.13,Rating: Three,http://books.toscrape.com/catalogue/page-2.html,http://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,2026-07-31 04:42:56
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Â£40.30,Rating: Five,http://books.toscrape.com/catalogue/page-2.html,http://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,2026-07-31 04:42:56
Wall and Piece,Â£44.18,Rating: Four,http://books.toscrape.com/catalogue/page-2.html,http://books.toscrape.com/catalogue/wall-and-piece_971/index.html,2026-07-31 04:42:56
The Four Agreements: A Practical Guide to Personal Freedom,Â£17.66,Rating: Five,http://books.toscrape.com/catalogue/page-2.html,http://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,2026-07-31 04:42:56
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Â£31.05,Rating: Three,http://books.toscrape.com/catalogue/page-2.html,http://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,2026-07-31 04:42:56
The Elephant Tree,Â£23.82,Rating: Five,http://books.toscrape.com/catalogue/page-2.html,http://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,2026-07-31 04:42:56
The Bear and the Piano,Â£36.89,Rating: One,http://books.toscrape.com/catalogue/page-2.html,http://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,2026-07-31 04:42:56
Sophie's World,Â£15.94,Rating: Five,http://books.toscrape.com/catalogue/page-2.html,http://books.toscrape.com/catalogue/sophies-world_966/index.html,2026-07-31 04:42:56
Penny Maybe,Â£33.29,Rating: Three,http://books.toscrape.com/catalogue/page-2.html,http://books.toscrape.com/catalogue/penny-maybe_965/index.html,2026-07-31 04:42:56
Maude (1883-1993):She Grew Up with the country,Â£18.02,Rating: Two,http://books.toscrape.com/catalogue/page-2.html,http://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,2026-07-31 04:42:56
"In a Dark, Dark Wood",Â£19.63,Rating: One,http://books.toscrape.com/catalogue/page-2.html,http://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,2026-07-31 04:42:56
Behind Closed Doors,Â£52.22,Rating: Four,http://books.toscrape.com/catalogue/page-2.html,http://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,2026-07-31 04:42:56
You can't bury them all: Poems,Â£33.63,Rating: Two,http://books.toscrape.com/catalogue/page-2.html,http://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,2026-07-31 04:42:56
